Row,Time,EventType,Param
0,18.8300905,SpawnTarget,Yellow
1,19.79694436,SpawnTarget,White
2,21.21981857,SpawnTarget,Red
3,22.12847326,SpawnTarget,White
4,23.54418275,SpawnTarget,Yellow
5,24.52064631,SpawnTarget,White
6,26.01427267,SpawnTarget,Red
7,26.96614287,SpawnTarget,White
8,28.41091988,SpawnTarget,Yellow
9,29.32270667,SpawnTarget,White
10,30.78456256,SpawnTarget,Green
11,31.69370291,SpawnTarget,White
12,33.22944972,SpawnTarget,Red
13,34.13458726,SpawnTarget,White
14,35.64248798,SpawnTarget,Blue
15,36.56524966,SpawnTarget,White
16,38.02390311,SpawnTarget,Yellow
17,38.63137481,SpawnTarget,White
18,39.83392713,SpawnTarget,White
19,40.4117708,SpawnTarget,Red
20,40.99705574,SpawnTarget,White
21,42.16917179,SpawnTarget,White
22,42.79135225,SpawnTarget,Green
23,43.39080784,SpawnTarget,White
24,44.59913943,SpawnTarget,White
25,45.20799014,SpawnTarget,Blue
26,45.76343582,SpawnTarget,White
27,46.99803779,SpawnTarget,White
28,47.59490273,SpawnTarget,Red
29,48.2163131,SpawnTarget,White
30,49.34466598,SpawnTarget,White
31,49.98876569,SpawnTarget,Green
32,50.60952327,SpawnTarget,White
33,51.7669749,SpawnTarget,White
34,52.39261386,SpawnTarget,Yellow
35,52.99403117,SpawnTarget,White
36,54.16352293,SpawnTarget,White
37,54.82474754,SpawnTarget,Blue
38,55.40679929,SpawnTarget,White
39,56.66076467,SpawnTarget,White
40,57.25690839,SpawnTarget,Yellow
41,57.87047837,SpawnTarget,White
42,59.04597351,SpawnTarget,White
43,59.65698454,SpawnTarget,Yellow
44,60.25766871,SpawnTarget,White
45,61.41631768,SpawnTarget,White
46,62.03020809,SpawnTarget,Red
47,62.61045191,SpawnTarget,White
48,63.82558153,SpawnTarget,White
49,64.47089527,SpawnTarget,Red
50,65.05248592,SpawnTarget,White
51,66.25496051,SpawnTarget,White
52,66.85625074,SpawnTarget,Green
53,67.47568033,SpawnTarget,White
54,68.59469817,SpawnTarget,White
55,69.27846811,SpawnTarget,Green
56,69.86113522,SpawnTarget,White
57,71.08027766,SpawnTarget,White
58,71.66708848,SpawnTarget,Blue
59,72.23034594,SpawnTarget,White
60,73.4533045,SpawnTarget,White
61,74.05319331,SpawnTarget,Blue
62,74.63667056,SpawnTarget,White
63,75.80766556,SpawnTarget,White
64,76.45355246,SpawnTarget,Yellow
65,77.02095363,SpawnTarget,White
66,77.65043042,SpawnTarget,Yellow
67,78.24270627,SpawnTarget,White
68,78.85630104,SpawnTarget,Red
69,79.44717333,SpawnTarget,White
70,80.06593225,SpawnTarget,Red
71,80.6696007,SpawnTarget,White
72,81.27066634,SpawnTarget,Green
73,81.87120244,SpawnTarget,White
74,82.47305677,SpawnTarget,Green
75,83.06649969,SpawnTarget,White
76,83.66645882,SpawnTarget,Blue
77,84.23447153,SpawnTarget,White
78,84.84807846,SpawnTarget,Blue
79,85.44984386,SpawnTarget,White
80,86.1009979,SpawnTarget,Red
81,86.66741035,SpawnTarget,White
82,87.29567525,SpawnTarget,Red
83,87.882601,SpawnTarget,White
84,88.48415706,SpawnTarget,Green
85,89.06452129,SpawnTarget,White
86,89.68609307,SpawnTarget,Green
87,90.28948257,SpawnTarget,White
88,90.89260838,SpawnTarget,Yellow
89,91.46391628,SpawnTarget,White
90,92.05646727,SpawnTarget,Yellow
91,92.64684102,SpawnTarget,White
92,93.23466489,SpawnTarget,Blue
93,93.81539009,SpawnTarget,White
94,94.47981379,SpawnTarget,Blue
95,95.08599875,SpawnTarget,White
96,95.69389818,SpawnTarget,Yellow
97,96.52382467,SpawnTarget,Green
98,97.4362416,SpawnTarget,Red
99,98.6438846,SpawnTarget,White
100,99.880573,SpawnTarget,White
101,101.0630302,SpawnTarget,White
102,102.2412064,SpawnTarget,White
103,103.4626159,SpawnTarget,White
104,104.6400974,SpawnTarget,White
105,105.3114211,SpawnTarget,Red
106,106.2076564,SpawnTarget,Green
107,107.100445,SpawnTarget,Yellow
108,108.3069703,SpawnTarget,White
109,109.4984543,SpawnTarget,White
110,110.6913995,SpawnTarget,White
111,111.8603286,SpawnTarget,White
112,113.0828995,SpawnTarget,White
113,114.2725026,SpawnTarget,White
114,114.9535844,SpawnTarget,Yellow
115,115.8581295,SpawnTarget,Green
116,116.7076032,SpawnTarget,Red
117,117.6041198,SpawnTarget,Blue
118,118.5363991,SpawnTarget,White
119,144.9944002,SpawnTarget,White
120,145.5705158,SpawnTarget,Yellow
121,146.154664,SpawnTarget,White
122,146.7385759,SpawnTarget,Red
123,147.3500719,SpawnTarget,White
124,147.9663875,SpawnTarget,Yellow
125,148.5504472,SpawnTarget,White
126,149.1672618,SpawnTarget,Red
127,149.7565279,SpawnTarget,White
128,150.3681993,SpawnTarget,Yellow
129,150.9561393,SpawnTarget,White
130,151.5608585,SpawnTarget,Red
131,152.1634202,SpawnTarget,White
132,152.756593,SpawnTarget,Yellow
133,153.3580522,SpawnTarget,White
134,153.9463334,SpawnTarget,Red
135,154.5625777,SpawnTarget,White
136,155.1367838,SpawnTarget,Green
137,155.7575283,SpawnTarget,White
138,156.3449023,SpawnTarget,Blue
139,156.9607482,SpawnTarget,White
140,157.5185468,SpawnTarget,Green
141,158.1525209,SpawnTarget,White
142,158.7555125,SpawnTarget,Blue
143,159.3628113,SpawnTarget,White
144,159.9304752,SpawnTarget,Yellow
145,160.5555575,SpawnTarget,Red
146,161.1554591,SpawnTarget,White
147,161.7675073,SpawnTarget,White
148,162.3762412,SpawnTarget,Yellow
149,162.9637322,SpawnTarget,Red
150,163.5512421,SpawnTarget,White
151,164.1992321,SpawnTarget,White
152,164.7886767,SpawnTarget,Green
153,165.4057886,SpawnTarget,Blue
154,166.0138042,SpawnTarget,White
155,166.5999229,SpawnTarget,White
156,167.1687135,SpawnTarget,Green
157,167.772685,SpawnTarget,Blue
158,168.3479092,SpawnTarget,White
159,168.9808812,SpawnTarget,Yellow
160,169.5585479,SpawnTarget,Green
161,170.1713109,SpawnTarget,Red
162,170.7694361,SpawnTarget,Blue
163,171.3592522,SpawnTarget,Yellow
164,171.9570515,SpawnTarget,Green
165,172.5486126,SpawnTarget,Red
166,173.1692776,SpawnTarget,Blue
167,173.7685268,SpawnTarget,Red
168,174.3785617,SpawnTarget,Green
