Row,Time,EventType,Param
0,29.97,SpawnTarget,White
1,33.41,SpawnTarget,White
2,36.84,SpawnTarget,White
3,40.27,SpawnTarget,White
4,43.71,SpawnTarget,White
5,44.56,SpawnTarget,Yellow
6,47.14,SpawnTarget,White
7,48,SpawnTarget,Red
8,50.57,SpawnTarget,White
9,51.43,SpawnTarget,Blue
10,54.01,SpawnTarget,White
11,54.86,SpawnTarget,Green
12,57.365,SpawnTarget,White
13,58.225,SpawnTarget,White
14,59.085,SpawnTarget,White
15,59.935,SpawnTarget,White
16,60.795,SpawnTarget,Yellow
17,61.655,SpawnTarget,Yellow
18,62.515,SpawnTarget,Yellow
19,63.375,SpawnTarget,Yellow
20,64.235,SpawnTarget,White
21,65.085,SpawnTarget,White
22,65.945,SpawnTarget,White
23,66.805,SpawnTarget,White
24,67.665,SpawnTarget,Red
25,68.525,SpawnTarget,Red
26,69.385,SpawnTarget,Red
27,70.235,SpawnTarget,Red
28,71.095,SpawnTarget,White
29,71.955,SpawnTarget,White
30,72.815,SpawnTarget,White
31,73.675,SpawnTarget,White
32,74.535,SpawnTarget,Blue
33,75.385,SpawnTarget,Blue
34,76.245,SpawnTarget,Blue
35,77.105,SpawnTarget,Blue
36,77.965,SpawnTarget,White
37,78.825,SpawnTarget,White
38,79.685,SpawnTarget,White
39,80.535,SpawnTarget,White
40,81.395,SpawnTarget,Green
41,82.255,SpawnTarget,Green
42,83.115,SpawnTarget,Green
43,83.975,SpawnTarget,Green
44,84.835,SpawnTarget,White
45,85.685,SpawnTarget,Yellow
46,86.545,SpawnTarget,White
47,87.405,SpawnTarget,Green
48,87.835,SpawnTarget,Green
49,88.265,SpawnTarget,White
50,89.125,SpawnTarget,Red
51,89.985,SpawnTarget,White
52,90.835,SpawnTarget,Blue
53,91.265,SpawnTarget,Blue
54,91.695,SpawnTarget,White
55,92.555,SpawnTarget,Yellow
56,93.415,SpawnTarget,White
57,94.275,SpawnTarget,Green
58,94.705,SpawnTarget,Green
59,95.135,SpawnTarget,White
60,95.985,SpawnTarget,Red
61,96.845,SpawnTarget,White
62,97.705,SpawnTarget,Blue
63,98.135,SpawnTarget,Blue
64,98.565,SpawnTarget,White
65,99.425,SpawnTarget,Red
66,100.285,SpawnTarget,White
67,101.135,SpawnTarget,Green
68,101.565,SpawnTarget,Green
69,101.995,SpawnTarget,White
70,102.855,SpawnTarget,Yellow
71,103.715,SpawnTarget,White
72,104.575,SpawnTarget,Blue
73,105.005,SpawnTarget,Blue
74,105.425,SpawnTarget,White
75,106.285,SpawnTarget,Red
76,107.145,SpawnTarget,White
77,108.005,SpawnTarget,Green
78,108.435,SpawnTarget,Green
79,108.865,SpawnTarget,White
80,109.725,SpawnTarget,Yellow
81,110.575,SpawnTarget,White
82,111.435,SpawnTarget,Red
83,111.865,SpawnTarget,Red
84,112.295,SpawnTarget,White
85,113.155,SpawnTarget,Yellow
86,114.015,SpawnTarget,White
87,114.875,SpawnTarget,Red
88,115.305,SpawnTarget,Red
89,115.725,SpawnTarget,White
90,119.24,SpawnTarget,Yellow
91,122.67,SpawnTarget,Red
92,126.1,SpawnTarget,White
93,129.54,SpawnTarget,White
94,132.97,SpawnTarget,Yellow
95,136.4,SpawnTarget,Green
96,138.12,SpawnTarget,Red
97,139.84,SpawnTarget,White
98,143.06,SpawnTarget,Green
99,146.49,SpawnTarget,White
100,146.92,SpawnTarget,White
101,147.35,SpawnTarget,White
102,147.78,SpawnTarget,White
103,148.21,SpawnTarget,White
104,148.64,SpawnTarget,White
105,149.06,SpawnTarget,White
106,149.49,SpawnTarget,White
107,149.92,SpawnTarget,Blue
108,150.35,SpawnTarget,Blue
109,150.78,SpawnTarget,Blue
110,151.21,SpawnTarget,Blue
111,151.64,SpawnTarget,Blue
112,152.07,SpawnTarget,Blue
113,152.5,SpawnTarget,Blue
114,152.93,SpawnTarget,Blue
115,153.36,SpawnTarget,White
116,153.78,SpawnTarget,White
117,154.21,SpawnTarget,White
118,154.64,SpawnTarget,White
119,155.07,SpawnTarget,White
120,155.5,SpawnTarget,White
121,155.93,SpawnTarget,White
122,156.36,SpawnTarget,White
123,156.79,SpawnTarget,Green
124,157.22,SpawnTarget,Green
125,157.65,SpawnTarget,Green
126,158.08,SpawnTarget,Green
127,158.51,SpawnTarget,Green
128,158.93,SpawnTarget,Green
129,159.36,SpawnTarget,Green
130,159.79,SpawnTarget,Green
131,160.22,SpawnTarget,White
132,160.65,SpawnTarget,White
133,161.08,SpawnTarget,White
134,161.51,SpawnTarget,White
135,161.94,SpawnTarget,White
136,162.37,SpawnTarget,White
137,162.8,SpawnTarget,White
138,163.23,SpawnTarget,White
139,163.66,SpawnTarget,Yellow
140,164.08,SpawnTarget,Yellow
141,164.51,SpawnTarget,Yellow
142,164.94,SpawnTarget,Yellow
143,165.37,SpawnTarget,Yellow
144,165.8,SpawnTarget,Yellow
145,166.23,SpawnTarget,Yellow
146,166.66,SpawnTarget,Yellow
147,167.09,SpawnTarget,White
148,167.52,SpawnTarget,White
149,167.95,SpawnTarget,White
150,168.38,SpawnTarget,White
151,168.81,SpawnTarget,White
152,169.23,SpawnTarget,White
153,169.66,SpawnTarget,White
154,170.09,SpawnTarget,White
155,170.52,SpawnTarget,Red
156,170.95,SpawnTarget,Red
157,171.38,SpawnTarget,Red
158,171.81,SpawnTarget,Red
159,172.24,SpawnTarget,Red
160,173.1,SpawnTarget,White
161,173.53,SpawnTarget,White
162,173.96,SpawnTarget,White
163,174.38,SpawnTarget,Yellow
164,174.81,SpawnTarget,White
165,175.24,SpawnTarget,Yellow
166,175.67,SpawnTarget,White
167,176.1,SpawnTarget,Yellow
168,176.53,SpawnTarget,White
169,176.96,SpawnTarget,Yellow
170,177.39,SpawnTarget,White
171,177.82,SpawnTarget,Blue
172,178.25,SpawnTarget,White
173,178.68,SpawnTarget,Blue
174,179.11,SpawnTarget,White
175,179.53,SpawnTarget,Blue
176,179.96,SpawnTarget,White
177,180.39,SpawnTarget,Blue
178,180.82,SpawnTarget,White
179,181.25,SpawnTarget,Red
180,181.68,SpawnTarget,White
181,182.11,SpawnTarget,Red
182,182.54,SpawnTarget,White
183,182.97,SpawnTarget,Red
184,183.4,SpawnTarget,White
185,183.83,SpawnTarget,Red
186,184.25,SpawnTarget,White
187,184.68,SpawnTarget,Green
188,185.11,SpawnTarget,White
189,185.54,SpawnTarget,Green
190,185.97,SpawnTarget,White
191,186.4,SpawnTarget,Green
192,186.83,SpawnTarget,White
193,187.26,SpawnTarget,Green
194,187.69,SpawnTarget,White
195,188.12,SpawnTarget,Red
196,188.55,SpawnTarget,White
197,188.98,SpawnTarget,Red
198,189.4,SpawnTarget,White
199,189.83,SpawnTarget,Red
200,190.26,SpawnTarget,White
201,190.69,SpawnTarget,Red
202,191.12,SpawnTarget,White
203,191.55,SpawnTarget,Blue
204,191.98,SpawnTarget,White
205,192.41,SpawnTarget,Blue
206,192.84,SpawnTarget,White
207,193.27,SpawnTarget,Blue
208,193.7,SpawnTarget,White
209,194.13,SpawnTarget,Blue
210,194.55,SpawnTarget,White
211,194.98,SpawnTarget,Yellow
212,195.41,SpawnTarget,White
213,195.84,SpawnTarget,Yellow
214,196.27,SpawnTarget,White
215,196.7,SpawnTarget,Yellow
216,197.13,SpawnTarget,White
217,197.56,SpawnTarget,Yellow
218,197.99,SpawnTarget,White
219,198.42,SpawnTarget,Green
220,198.85,SpawnTarget,White
221,199.28,SpawnTarget,Green
222,199.7,SpawnTarget,White
223,201.42,SpawnTarget,White
224,10000,NaN,NaN
