Row,Time,EventType,Param
0,29.92,SpawnTarget,White
1,33.36,SpawnTarget,White
2,36.79,SpawnTarget,White
3,40.22,SpawnTarget,White
4,43.66,SpawnTarget,White
5,44.51,SpawnTarget,Yellow
6,47.09,SpawnTarget,White
7,47.95,SpawnTarget,Red
8,50.52,SpawnTarget,White
9,51.38,SpawnTarget,Blue
10,53.96,SpawnTarget,White
11,54.81,SpawnTarget,Green
12,57.315,SpawnTarget,White
13,58.175,SpawnTarget,White
14,59.035,SpawnTarget,White
15,59.885,SpawnTarget,White
16,60.745,SpawnTarget,Yellow
17,61.605,SpawnTarget,Yellow
18,62.465,SpawnTarget,Yellow
19,63.325,SpawnTarget,Yellow
20,64.185,SpawnTarget,White
21,65.035,SpawnTarget,White
22,65.895,SpawnTarget,White
23,66.755,SpawnTarget,White
24,67.615,SpawnTarget,Red
25,68.475,SpawnTarget,Red
26,69.335,SpawnTarget,Red
27,70.185,SpawnTarget,Red
28,71.045,SpawnTarget,White
29,71.905,SpawnTarget,White
30,72.765,SpawnTarget,White
31,73.625,SpawnTarget,White
32,74.485,SpawnTarget,Blue
33,75.335,SpawnTarget,Blue
34,76.195,SpawnTarget,Blue
35,77.055,SpawnTarget,Blue
36,77.915,SpawnTarget,White
37,78.775,SpawnTarget,White
38,79.635,SpawnTarget,White
39,80.485,SpawnTarget,White
40,81.345,SpawnTarget,Green
41,82.205,SpawnTarget,Green
42,83.065,SpawnTarget,Green
43,83.925,SpawnTarget,Green
44,84.785,SpawnTarget,White
45,85.635,SpawnTarget,Yellow
46,86.495,SpawnTarget,White
47,87.355,SpawnTarget,Green
48,87.785,SpawnTarget,Green
49,88.215,SpawnTarget,White
50,89.075,SpawnTarget,Red
51,89.935,SpawnTarget,White
52,90.785,SpawnTarget,Blue
53,91.215,SpawnTarget,Blue
54,91.645,SpawnTarget,White
55,92.505,SpawnTarget,Yellow
56,93.365,SpawnTarget,White
57,94.225,SpawnTarget,Green
58,94.655,SpawnTarget,Green
59,95.085,SpawnTarget,White
60,95.935,SpawnTarget,Red
61,96.795,SpawnTarget,White
62,97.655,SpawnTarget,Blue
63,98.085,SpawnTarget,Blue
64,98.515,SpawnTarget,White
65,99.375,SpawnTarget,Red
66,100.235,SpawnTarget,White
67,101.085,SpawnTarget,Green
68,101.515,SpawnTarget,Green
69,101.945,SpawnTarget,White
70,102.805,SpawnTarget,Yellow
71,103.665,SpawnTarget,White
72,104.525,SpawnTarget,Blue
73,104.955,SpawnTarget,Blue
74,105.375,SpawnTarget,White
75,106.235,SpawnTarget,Red
