Row,Time,EventType,Param
0,6.5,SpawnTarget,White
1,6.934301853,SpawnTarget,White
2,7.432471752,SpawnTarget,White
3,7.905617714,SpawnTarget,White
4,8.387073755,SpawnTarget,White
5,8.83535409,SpawnTarget,White
6,9.32518387,SpawnTarget,White
7,9.79638386,SpawnTarget,White
8,10.28563833,SpawnTarget,White
9,10.74744129,SpawnTarget,White
10,11.19773912,SpawnTarget,White
11,11.66593266,SpawnTarget,White
12,12.13433886,SpawnTarget,White
13,12.60313082,SpawnTarget,White
14,13.08500695,SpawnTarget,White
15,13.55099058,SpawnTarget,Yellow
16,14.01175809,SpawnTarget,White
17,14.47988319,SpawnTarget,White
18,14.9242537,SpawnTarget,White
19,15.39755177,SpawnTarget,Red
20,15.88719702,SpawnTarget,White
21,16.38701773,SpawnTarget,White
22,16.84261608,SpawnTarget,White
23,17.29116392,SpawnTarget,Yellow
24,17.74518418,SpawnTarget,White
25,18.22048306,SpawnTarget,White
26,18.67063928,SpawnTarget,White
27,19.1371026,SpawnTarget,Red
28,19.61957955,SpawnTarget,White
29,20.11345506,SpawnTarget,White
30,20.58734536,SpawnTarget,White
31,21.05697966,SpawnTarget,Yellow
32,21.49729729,SpawnTarget,White
33,21.97957277,SpawnTarget,Yellow
34,22.92037487,SpawnTarget,Yellow
35,23.42308545,SpawnTarget,White
36,23.89585257,SpawnTarget,Yellow
37,24.77253056,SpawnTarget,Yellow
38,25.25633502,SpawnTarget,White
39,25.72403073,SpawnTarget,Red
40,26.67110658,SpawnTarget,Red
41,27.16220737,SpawnTarget,White
42,27.62421489,SpawnTarget,Red
43,28.1162715,SpawnTarget,White
44,28.56065488,SpawnTarget,Red
45,29.03689528,SpawnTarget,White
46,29.50164652,SpawnTarget,Yellow
47,29.97647595,SpawnTarget,White
48,30.45388317,SpawnTarget,Yellow
49,30.89732647,SpawnTarget,White
50,31.37309313,SpawnTarget,Red
51,31.83183599,SpawnTarget,White
52,32.2918725,SpawnTarget,Red
53,32.78183699,SpawnTarget,White
54,33.26166153,SpawnTarget,Yellow
55,34.18898559,SpawnTarget,Yellow
56,34.67289495,SpawnTarget,White
57,35.16661763,SpawnTarget,Red
58,36.08995557,SpawnTarget,Red
59,36.53847718,SpawnTarget,White
60,37.03004217,SpawnTarget,Yellow
61,37.5093267,SpawnTarget,White
62,37.98186469,SpawnTarget,Yellow
63,38.47160554,SpawnTarget,White
64,38.9254446,SpawnTarget,Yellow
65,39.42136288,SpawnTarget,White
66,39.86008906,SpawnTarget,Yellow
67,40.30790854,SpawnTarget,White
68,40.75196719,SpawnTarget,Red
69,41.24101067,SpawnTarget,White
70,41.70379233,SpawnTarget,Red
71,42.20011926,SpawnTarget,White
72,42.66860723,SpawnTarget,Red
73,43.15553713,SpawnTarget,White
74,43.63374782,SpawnTarget,Red
75,44.08006024,SpawnTarget,White
76,44.55767679,SpawnTarget,Yellow
77,44.98431897,SpawnTarget,White
78,45.45037436,SpawnTarget,Red
79,45.92846084,SpawnTarget,White
80,46.41905761,SpawnTarget,Yellow
81,46.8894999,SpawnTarget,White
82,47.35607386,SpawnTarget,Red
83,47.80872059,SpawnTarget,White
84,48.30612683,SpawnTarget,Yellow
85,48.75700331,SpawnTarget,White
86,49.21948981,SpawnTarget,Red
87,49.68406725,SpawnTarget,White
88,50.17162371,SpawnTarget,Yellow
89,50.63242245,SpawnTarget,White
90,51.08718848,SpawnTarget,Red
91,51.54745603,SpawnTarget,White
92,52.03398681,SpawnTarget,Yellow
93,52.46696186,SpawnTarget,White
94,52.98037839,SpawnTarget,Green
95,53.43338585,SpawnTarget,White
96,53.90804172,SpawnTarget,Red
97,54.36550021,SpawnTarget,White
98,54.82313395,SpawnTarget,Blue
