Row,Time,EventType,Param
0,6.45,SpawnTarget,White
1,6.919305706,SpawnTarget,White
2,7.388611412,SpawnTarget,White
3,7.857917117,SpawnTarget,White
4,8.327222823,SpawnTarget,White
5,8.796528529,SpawnTarget,White
6,9.265834235,SpawnTarget,White
7,9.73513994,SpawnTarget,White
8,10.20444565,SpawnTarget,White
9,10.67375135,SpawnTarget,White
10,11.14305706,SpawnTarget,White
11,11.61236276,SpawnTarget,White
12,12.08166847,SpawnTarget,White
13,12.55097418,SpawnTarget,White
14,13.02027988,SpawnTarget,White
15,13.48958559,SpawnTarget,Yellow
16,13.95889129,SpawnTarget,White
17,14.428197,SpawnTarget,White
18,14.8975027,SpawnTarget,White
19,15.36680841,SpawnTarget,Red
20,15.83611412,SpawnTarget,White
21,16.30541982,SpawnTarget,White
22,16.77472553,SpawnTarget,White
23,17.24403123,SpawnTarget,Yellow
24,17.71333694,SpawnTarget,White
25,18.18264264,SpawnTarget,White
26,18.65194835,SpawnTarget,White
27,19.12125406,SpawnTarget,Red
28,19.59055976,SpawnTarget,White
29,20.05986547,SpawnTarget,White
30,20.52917117,SpawnTarget,White
31,20.99847688,SpawnTarget,Yellow
32,21.46778259,SpawnTarget,White
33,21.93708829,SpawnTarget,Yellow
34,22.8756997,SpawnTarget,Yellow
35,23.34500541,SpawnTarget,White
36,23.81431111,SpawnTarget,Yellow
37,24.75292253,SpawnTarget,Yellow
38,25.22222823,SpawnTarget,White
39,25.69153394,SpawnTarget,Red
40,26.63014535,SpawnTarget,Red
41,27.09945106,SpawnTarget,White
42,27.56875676,SpawnTarget,Red
43,28.03806247,SpawnTarget,White
44,28.50736817,SpawnTarget,Red
45,28.97667388,SpawnTarget,White
46,29.44597958,SpawnTarget,Yellow
47,29.91528529,SpawnTarget,White
48,30.384591,SpawnTarget,Yellow
49,30.8538967,SpawnTarget,White
50,31.32320241,SpawnTarget,Red
51,31.79250811,SpawnTarget,White
52,32.26181382,SpawnTarget,Red
53,32.73111952,SpawnTarget,White
54,33.20042523,SpawnTarget,Yellow
55,34.13903664,SpawnTarget,Yellow
56,34.60834235,SpawnTarget,White
57,35.07764805,SpawnTarget,Red
58,36.01625947,SpawnTarget,Red
59,36.48556517,SpawnTarget,White
60,36.95487088,SpawnTarget,Yellow
61,37.42417658,SpawnTarget,White
62,37.89348229,SpawnTarget,Yellow
63,38.36278799,SpawnTarget,White
64,38.8320937,SpawnTarget,Yellow
65,39.30139941,SpawnTarget,White
66,39.77070511,SpawnTarget,Yellow
67,40.24001082,SpawnTarget,White
68,40.70931652,SpawnTarget,Red
69,41.17862223,SpawnTarget,White
70,41.64792793,SpawnTarget,Red
71,42.11723364,SpawnTarget,White
72,42.58653935,SpawnTarget,Red
73,43.05584505,SpawnTarget,White
74,43.52515076,SpawnTarget,Red
75,43.99445646,SpawnTarget,White
76,44.46376217,SpawnTarget,Yellow
77,44.93306788,SpawnTarget,White
78,45.40237358,SpawnTarget,Red
79,45.87167929,SpawnTarget,White
80,46.34098499,SpawnTarget,Yellow
81,46.8102907,SpawnTarget,White
82,47.2795964,SpawnTarget,Red
83,47.74890211,SpawnTarget,White
84,48.21820782,SpawnTarget,Yellow
85,48.68751352,SpawnTarget,White
86,49.15681923,SpawnTarget,Red
87,49.62612493,SpawnTarget,White
88,50.09543064,SpawnTarget,Yellow
89,50.56473634,SpawnTarget,White
90,51.03404205,SpawnTarget,Red
91,51.50334776,SpawnTarget,White
92,51.97265346,SpawnTarget,Yellow
93,52.44195917,SpawnTarget,White
94,52.91126487,SpawnTarget,Green
95,53.38057058,SpawnTarget,White
96,53.84987629,SpawnTarget,Red
97,54.31918199,SpawnTarget,White
98,54.7884877,SpawnTarget,Blue
99,55.2577934,SpawnTarget,White
100,55.72709911,SpawnTarget,Yellow
101,56.66571052,SpawnTarget,Yellow
102,57.13501623,SpawnTarget,White
103,57.60432193,SpawnTarget,Red
104,58.54293334,SpawnTarget,Red
105,59.01223905,SpawnTarget,White
106,59.48154476,SpawnTarget,Yellow
107,59.95085046,SpawnTarget,White
108,60.42015617,SpawnTarget,Yellow
109,60.88946187,SpawnTarget,White
110,61.35876758,SpawnTarget,Red
111,61.82807328,SpawnTarget,White
112,62.29737899,SpawnTarget,Red
113,62.7666847,SpawnTarget,White
114,63.2359904,SpawnTarget,Yellow
115,63.70529611,SpawnTarget,White
116,64.17460181,SpawnTarget,Green
117,64.64390752,SpawnTarget,White
118,65.11321322,SpawnTarget,Red
119,65.58251893,SpawnTarget,White
120,66.05182464,SpawnTarget,Blue
121,66.52113034,SpawnTarget,White
122,66.99043605,SpawnTarget,Yellow
123,67.45974175,SpawnTarget,Green
124,67.92904746,SpawnTarget,Red
125,68.39835317,SpawnTarget,Blue
126,68.86765887,SpawnTarget,Yellow
127,69.33696458,SpawnTarget,Green
128,69.80627028,SpawnTarget,Red
129,70.27557599,SpawnTarget,Blue
130,70.74488169,SpawnTarget,Red
131,71.2141874,SpawnTarget,Green
132,71.68349311,SpawnTarget,Yellow
133,72.15279881,SpawnTarget,Blue
134,72.62210452,SpawnTarget,Red
135,73.09141022,SpawnTarget,Green
136,73.56071593,SpawnTarget,Yellow
137,74.03002163,SpawnTarget,White
138,74.49932734,SpawnTarget,Yellow
139,75.43793875,SpawnTarget,Yellow
140,75.90724446,SpawnTarget,White
141,76.37655016,SpawnTarget,Red
142,77.31516158,SpawnTarget,Red
143,77.78446728,SpawnTarget,White
144,78.25377299,SpawnTarget,Yellow
145,78.72307869,SpawnTarget,White
146,79.1923844,SpawnTarget,Yellow
147,79.6616901,SpawnTarget,White
148,80.13099581,SpawnTarget,Red
149,80.60030152,SpawnTarget,White
150,81.06960722,SpawnTarget,Red
151,81.53891293,SpawnTarget,White
152,82.00821863,SpawnTarget,Yellow
153,82.47752434,SpawnTarget,Green
154,82.94683004,SpawnTarget,Red
155,83.41613575,SpawnTarget,Blue
156,83.88544146,SpawnTarget,Yellow
157,84.35474716,SpawnTarget,Green
158,84.82405287,SpawnTarget,Red
159,85.29335857,SpawnTarget,Blue
160,85.76266428,SpawnTarget,Red
161,86.23196999,SpawnTarget,Green
162,86.70127569,SpawnTarget,Yellow
163,87.1705814,SpawnTarget,Blue
164,87.6398871,SpawnTarget,Red
165,88.10919281,SpawnTarget,Green
166,88.57849851,SpawnTarget,Yellow
167,89.04780422,SpawnTarget,White
168,89.51710993,SpawnTarget,Yellow
169,90.45572134,SpawnTarget,Yellow
170,90.92502704,SpawnTarget,White
171,91.39433275,SpawnTarget,Red
172,92.33294416,SpawnTarget,Red
173,92.80224987,SpawnTarget,White
174,93.27155557,SpawnTarget,Yellow
175,93.74086128,SpawnTarget,White
176,94.21016698,SpawnTarget,Yellow
177,94.67947269,SpawnTarget,White
178,95.1487784,SpawnTarget,Red
179,95.6180841,SpawnTarget,White
180,96.08738981,SpawnTarget,Red
181,96.55669551,SpawnTarget,White
182,97.02600122,SpawnTarget,Yellow
183,97.96461263,SpawnTarget,Yellow
184,98.43391834,SpawnTarget,White
185,98.90322404,SpawnTarget,Red
186,99.84183545,SpawnTarget,Red
187,100.3111412,SpawnTarget,White
188,100.7804469,SpawnTarget,Yellow
189,101.2497526,SpawnTarget,White
190,101.7190583,SpawnTarget,Yellow
191,102.188364,SpawnTarget,White
192,102.6576697,SpawnTarget,Red
193,103.1269754,SpawnTarget,White
194,103.5962811,SpawnTarget,Red
195,104.0655868,SpawnTarget,White
196,104.5348925,SpawnTarget,Yellow
197,105.0041982,SpawnTarget,White
198,105.4735039,SpawnTarget,Yellow
199,105.9428096,SpawnTarget,White
200,106.4121153,SpawnTarget,Red
201,106.881421,SpawnTarget,White
202,107.3507267,SpawnTarget,Red
203,107.8200325,SpawnTarget,White
204,108.2893382,SpawnTarget,Yellow
205,109.2279496,SpawnTarget,Yellow
206,109.6972553,SpawnTarget,White
207,110.166561,SpawnTarget,Red
208,111.1051724,SpawnTarget,Red
209,111.5744781,SpawnTarget,White
210,112.0437838,SpawnTarget,Yellow
211,112.5130895,SpawnTarget,White
212,112.9823952,SpawnTarget,Red
213,113.4517009,SpawnTarget,White
214,113.9210066,SpawnTarget,Yellow
215,114.3903123,SpawnTarget,White
216,114.859618,SpawnTarget,Red
217,115.3289237,SpawnTarget,White
218,115.7982295,SpawnTarget,Yellow
219,116.2675352,SpawnTarget,White
220,116.7368409,SpawnTarget,Green
221,117.2061466,SpawnTarget,White
222,117.6754523,SpawnTarget,Red
223,118.144758,SpawnTarget,White
224,118.6140637,SpawnTarget,Blue
225,119.0833694,SpawnTarget,White
226,119.5526751,SpawnTarget,Yellow
227,120.4912865,SpawnTarget,Yellow
228,120.9605922,SpawnTarget,White
229,121.4298979,SpawnTarget,Red
230,122.3685093,SpawnTarget,Red
231,122.837815,SpawnTarget,White
232,123.3071207,SpawnTarget,Yellow
233,123.7764264,SpawnTarget,White
